ItemName,IsTeleportable,UsesDurability,MaxDurability,DurabilityPerLevel,MaxStack,DisplayName,MaxQuality,ItemType,Weight,ScaleWeightByQuality,CanHaveCrafterTag
Acorn,True,False,100,50,100,Acorns,1,1,0.1,0,False
Amber,True,False,100,50,20,Amber,1,1,0.1,0,False
AmberPearl,True,False,100,50,50,Amber Pearl,1,1,0.1,0,False
AncientCoin,True,False,100,50,999,Ancient Coin,1,1,0.2,0,False
AncientGemstoneBlack,True,False,100,50,20,Draumyx,1,1,0.3,0,False
AncientGemstoneGreen,True,False,100,50,20,Grimvarn,1,1,0.3,0,False
AncientGemstoneOrange,True,False,100,50,20,Solryth,1,1,0.3,0,False
AncientGemstonePurple,True,False,100,50,20,Veydris,1,1,0.3,0,False
AncientSeed,True,False,100,50,50,Ancient Seed,1,16,1,0,False
ArmorAshlandsMediumChest,True,True,1000,200,1,Breastplate of Ask,4,7,5,0,True
ArmorAshlandsMediumlegs,True,True,1000,200,1,Trousers of Ask,4,11,5,0,True
ArmorBerserkerChest,True,True,1000,200,1,Patterns of the Bear,4,7,5,0,True
ArmorBerserkerLegs,True,True,1000,200,1,Loincloth of the Bear,4,11,5,0,True
ArmorBerserkerUndeadChest,True,True,1000,200,1,Vilebone Cage,4,7,5,0,True
ArmorBerserkerUndeadLegs,True,True,1000,200,1,Vilebone Drapes,4,11,5,0,True
ArmorBronzeChest,True,True,1000,200,1,Bronze Plate Tunic,4,7,10,0,True
ArmorBronzeLegs,True,True,1000,200,1,Bronze Plate Leggings,4,11,10,0,True
ArmorCarapaceChest,True,True,1200,200,1,Carapace Breastplate,4,7,10,0,True
ArmorCarapaceLegs,True,True,1200,200,1,Carapace Greaves,4,11,10,0,True
ArmorDeepNorthHeavyChest,True,True,1000,200,1,Breastplate of the Protector,4,7,5,0,False
ArmorDeepNorthHeavylegs,True,True,1000,200,1,Trousers of the Protector,4,11,5,0,False
ArmorDeepNorthMageChest,True,True,1000,200,1,Robes of the Caller,4,7,5,0,True
ArmorDeepNorthMagelegs,True,True,1000,200,1,Trousers of the Caller,4,11,5,0,True
ArmorDeepNorthMediumChest,True,True,1000,200,1,Chestpiece of the Vanguard,4,7,5,0,True
ArmorDeepNorthMediumlegs,True,True,1000,200,1,Trousers of the Vanguard,4,11,5,0,True
ArmorDress1,True,True,1000,200,1,Plain Brown Dress,4,7,10,0,False
ArmorDress10,True,True,1000,200,1,Simple Undyed Dress,4,7,10,0,False
ArmorDress2,True,True,1000,200,1,Brown Dress with Shawl,4,7,10,0,False
ArmorDress3,True,True,1000,200,1,Brown Dress with Beads,4,7,10,0,False
ArmorDress4,True,True,1000,200,1,Plain Blue Dress,4,7,10,0,False
ArmorDress5,True,True,1000,200,1,Blue Dress with Shawl,4,7,10,0,False
ArmorDress6,True,True,1000,200,1,Blue Dress with Beads,4,7,10,0,False
ArmorDress7,True,True,1000,200,1,Plain Yellow Dress,4,7,10,0,False
ArmorDress8,True,True,1000,200,1,Yellow Dress with Shawl,4,7,10,0,False
ArmorDress9,True,True,1000,200,1,Yellow Dress with Beads,4,7,10,0,False
ArmorFenringChest,True,True,1000,200,1,Fenris Coat,4,7,10,0,True
ArmorFenringLegs,True,True,1000,200,1,Fenris Leggings,4,11,10,0,True
ArmorFlametalChest,True,True,1000,200,1,Flametal Breastplate,4,7,10,0,True
ArmorFlametalLegs,True,True,1000,200,1,Flametal Greaves,4,11,10,0,True
ArmorGoldHeavyChestUncooked,True,False,100,50,10,Cast: Breastplate of the Protector,1,1,1,0,True
ArmorGoldHeavyHelmetUncooked,True,False,100,50,10,Cast: Helmet of the Protector,1,1,1,0,True
ArmorGoldHeavyLegsUncooked,True,False,100,50,10,Cast: Trousers of the Protector,1,1,1,0,True
ArmorGoldMageChestUncooked,True,False,100,50,10,Cast: Robes of the Caller,1,1,1,0,True
ArmorGoldMageHelmetUncooked,True,False,100,50,10,Cast: Headdress of the Caller,1,1,1,0,True
ArmorGoldMageLegsUncooked,True,False,100,50,10,Cast: Trousers of the Caller,1,1,1,0,True
ArmorGoldMediumChestUncooked,True,False,100,50,10,Cast: Chestpiece of the Vanguard,1,1,1,0,True
